PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
5815,33.31068835,130.2927225,24.688,57625.367,-47292.657,2,5030,23,29
5816,33.31068652,130.2927193,24.692,57624.81,-47293.487,2,5030,23,29
5817,33.3106851,130.2927158,24.697,57624.375,-47294.386,2,5030,23,29
5818,33.31068414,130.2927121,24.701,57624.084,-47295.342,2,5030,23,29
5819,33.31068366,130.2927083,24.706,57623.942,-47296.331,2,5030,23,29
5820,33.31068368,130.2927044,24.711,57623.953,-47297.33,2,5030,23,29
5821,33.3106842,130.2927006,24.716,57624.117,-47298.315,2,5030,23,29
5822,33.3106852,130.2926969,24.722,57624.43,-47299.264,2,5030,23,29
5823,33.31068666,130.2926935,24.728,57624.885,-47300.153,2,5030,23,29
5824,33.31068852,130.2926903,24.736,57625.462,-47300.969,2,5030,23,29
5825,33.31069065,130.2926874,24.744,57626.12,-47301.722,2,5030,23,29
5826,33.31069292,130.2926846,24.753,57626.823,-47302.433,2,5030,23,29
5827,33.31069354,130.2926839,24.756,57627.017,-47302.626,2,5030,23,29
5828,33.31043458,130.2931383,24.775,57546.664,-47185.749,2,5030,23,29
5829,33.31043397,130.2931374,24.801,57546.476,-47185.984,2,5030,23,29
5830,33.31043193,130.2931344,24.888,57545.852,-47186.765,2,5030,23,29
5831,33.31042989,130.2931314,24.974,57545.228,-47187.547,2,5030,23,29
5832,33.31042785,130.2931284,25.061,57544.604,-47188.329,2,5030,23,29
5833,33.31042582,130.2931253,25.148,57543.981,-47189.11,2,5030,23,29
5834,33.31042378,130.2931223,25.235,57543.357,-47189.892,2,5030,23,29
5835,33.31042174,130.2931193,25.322,57542.733,-47190.673,2,5030,23,29
5836,33.3104197,130.2931163,25.409,57542.109,-47191.455,2,5030,23,29
5837,33.31041767,130.2931133,25.495,57541.486,-47192.237,2,5030,23,29
5838,33.31041563,130.2931103,25.582,57540.862,-47193.018,2,5030,23,29
5839,33.31041359,130.2931072,25.669,57540.238,-47193.8,2,5030,23,29
